Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run\12_1.cypher;1;x;56;56;56
.\measurementA\cypher\run\12_2.cypher;2;x;58;15;71
.\measurementA\cypher\run\12_3.cypher;3;x;55;5;76
.\measurementA\cypher\run\12_4.cypher;4;x;56;6;82
.\measurementA\cypher\run\12_5.cypher;5;x;58;9;91
.\measurementA\cypher\run\12_6.cypher;6;x;58;2;93
.\measurementA\cypher\run\12_7.cypher;7;x;59;8;101
.\measurementA\cypher\run\12_8.cypher;8;x;58;9;110
.\measurementA\cypher\run\12_9.cypher;9;x;57;5;115
.\measurementA\cypher\run\12_10.cypher;10;x;56;6;121
.\measurementA\cypher\run\12_11.cypher;11;x;57;0;121
.\measurementA\cypher\run\12_12.cypher;12;x;56;0;121
.\measurementA\cypher\run\12_13.cypher;13;x;59;0;121
.\measurementA\cypher\run\12_14.cypher;14;x;58;0;121
.\measurementA\cypher\run\12_15.cypher;15;x;59;3;124
.\measurementA\cypher\run\12_16.cypher;16;x;57;3;127
.\measurementA\cypher\run\12_17.cypher;17;x;60;14;141
.\measurementA\cypher\run\12_18.cypher;18;x;62;1;142
.\measurementA\cypher\run\12_19.cypher;19;x;61;1;143
.\measurementA\cypher\run\12_20.cypher;20;x;63;0;143
.\measurementA\cypher\run\12_21.cypher;21;x;63;9;152
.\measurementA\cypher\run\12_22.cypher;22;x;61;4;156
.\measurementA\cypher\run\12_23.cypher;23;x;61;12;168
.\measurementA\cypher\run\12_24.cypher;24;x;63;8;176
.\measurementA\cypher\run\12_25.cypher;25;x;59;5;181
.\measurementA\cypher\run\12_26.cypher;26;x;60;0;181
.\measurementA\cypher\run\12_27.cypher;27;x;61;1;182
.\measurementA\cypher\run\12_28.cypher;28;x;62;1;183
.\measurementA\cypher\run\12_29.cypher;29;x;61;2;185
.\measurementA\cypher\run\12_30.cypher;30;x;63;1;186
.\measurementA\cypher\run\12_31.cypher;31;x;59;0;186
.\measurementA\cypher\run\12_32.cypher;32;x;61;0;186
.\measurementA\cypher\run\12_33.cypher;33;x;60;0;186
.\measurementA\cypher\run\12_34.cypher;34;x;62;0;186
.\measurementA\cypher\run\12_35.cypher;35;x;61;0;186
.\measurementA\cypher\run\12_36.cypher;36;x;60;0;186
.\measurementA\cypher\run\12_37.cypher;37;x;60;1;187
.\measurementA\cypher\run\12_38.cypher;38;x;62;0;187
.\measurementA\cypher\run\12_39.cypher;39;x;63;0;187
.\measurementA\cypher\run\12_40.cypher;40;x;61;0;187
.\measurementA\cypher\run\12_41.cypher;41;x;63;0;187
.\measurementA\cypher\run\12_42.cypher;42;x;63;7;194
.\measurementA\cypher\run\12_43.cypher;43;x;61;5;199
.\measurementA\cypher\run\12_44.cypher;44;x;63;1;200
.\measurementA\cypher\run\12_45.cypher;45;x;63;2;202
.\measurementA\cypher\run\12_46.cypher;46;x;62;0;202
.\measurementA\cypher\run\12_47.cypher;47;x;61;2;204
.\measurementA\cypher\run\12_48.cypher;48;x;63;1;205
.\measurementA\cypher\run\12_49.cypher;49;x;61;0;205
.\measurementA\cypher\run\12_50.cypher;50;x;63;0;205
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run1\1_1.cypher;1;x;57;57;57
.\measurementA\cypher\run1\1_2.cypher;2;x;57;12;69
.\measurementA\cypher\run1\1_3.cypher;3;x;59;16;85
.\measurementA\cypher\run1\1_4.cypher;4;x;58;0;85
.\measurementA\cypher\run1\1_5.cypher;5;x;58;0;85
.\measurementA\cypher\run1\1_6.cypher;6;x;56;5;90
.\measurementA\cypher\run1\1_7.cypher;7;x;59;6;96
.\measurementA\cypher\run1\1_8.cypher;8;x;56;0;96
.\measurementA\cypher\run1\1_9.cypher;9;x;57;5;101
.\measurementA\cypher\run1\1_10.cypher;10;x;60;0;101
.\measurementA\cypher\run1\1_11.cypher;11;x;60;0;101
.\measurementA\cypher\run1\1_12.cypher;12;x;57;0;101
.\measurementA\cypher\run1\1_13.cypher;13;x;58;6;107
.\measurementA\cypher\run1\1_14.cypher;14;x;58;0;107
.\measurementA\cypher\run1\1_15.cypher;15;x;59;4;111
.\measurementA\cypher\run1\1_16.cypher;16;x;59;0;111
.\measurementA\cypher\run1\1_17.cypher;17;x;57;10;121
.\measurementA\cypher\run1\1_18.cypher;18;x;57;7;128
.\measurementA\cypher\run1\1_19.cypher;19;x;59;6;134
.\measurementA\cypher\run1\1_20.cypher;20;x;58;0;134
.\measurementA\cypher\run1\1_21.cypher;21;x;59;8;142
.\measurementA\cypher\run1\1_22.cypher;22;x;56;0;142
.\measurementA\cypher\run1\1_23.cypher;23;x;57;0;142
.\measurementA\cypher\run1\1_24.cypher;24;x;56;0;142
.\measurementA\cypher\run1\1_25.cypher;25;x;58;0;142
.\measurementA\cypher\run1\1_26.cypher;26;x;58;0;142
.\measurementA\cypher\run1\1_27.cypher;27;x;57;0;142
.\measurementA\cypher\run1\1_28.cypher;28;x;59;0;142
.\measurementA\cypher\run1\1_29.cypher;29;x;60;0;142
.\measurementA\cypher\run1\1_30.cypher;30;x;59;0;142
.\measurementA\cypher\run1\1_31.cypher;31;x;57;0;142
.\measurementA\cypher\run1\1_32.cypher;32;x;59;0;142
.\measurementA\cypher\run1\1_33.cypher;33;x;58;7;149
.\measurementA\cypher\run1\1_34.cypher;34;x;59;0;149
.\measurementA\cypher\run1\1_35.cypher;35;x;58;0;149
.\measurementA\cypher\run1\1_36.cypher;36;x;57;0;149
.\measurementA\cypher\run1\1_37.cypher;37;x;58;0;149
.\measurementA\cypher\run1\1_38.cypher;38;x;60;4;153
.\measurementA\cypher\run1\1_39.cypher;39;x;60;0;153
.\measurementA\cypher\run1\1_40.cypher;40;x;61;0;153
.\measurementA\cypher\run1\1_41.cypher;41;x;58;1;154
.\measurementA\cypher\run1\1_42.cypher;42;x;58;0;154
.\measurementA\cypher\run1\1_43.cypher;43;x;59;0;154
.\measurementA\cypher\run1\1_44.cypher;44;x;60;0;154
.\measurementA\cypher\run1\1_45.cypher;45;x;58;0;154
.\measurementA\cypher\run1\1_46.cypher;46;x;58;0;154
.\measurementA\cypher\run1\1_47.cypher;47;x;57;0;154
.\measurementA\cypher\run1\1_48.cypher;48;x;60;0;154
.\measurementA\cypher\run1\1_49.cypher;49;x;57;0;154
.\measurementA\cypher\run1\1_50.cypher;50;x;59;0;154
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run10\10_1.cypher;1;x;56;56;56
.\measurementA\cypher\run10\10_2.cypher;2;x;57;15;71
.\measurementA\cypher\run10\10_3.cypher;3;x;56;0;71
.\measurementA\cypher\run10\10_4.cypher;4;x;55;0;71
.\measurementA\cypher\run10\10_5.cypher;5;x;58;15;86
.\measurementA\cypher\run10\10_6.cypher;6;x;59;9;95
.\measurementA\cypher\run10\10_7.cypher;7;x;60;11;106
.\measurementA\cypher\run10\10_8.cypher;8;x;57;7;113
.\measurementA\cypher\run10\10_9.cypher;9;x;56;5;118
.\measurementA\cypher\run10\10_10.cypher;10;x;58;0;118
.\measurementA\cypher\run10\10_11.cypher;11;x;57;0;118
.\measurementA\cypher\run10\10_12.cypher;12;x;57;0;118
.\measurementA\cypher\run10\10_13.cypher;13;x;56;0;118
.\measurementA\cypher\run10\10_14.cypher;14;x;58;0;118
.\measurementA\cypher\run10\10_15.cypher;15;x;57;0;118
.\measurementA\cypher\run10\10_16.cypher;16;x;57;0;118
.\measurementA\cypher\run10\10_17.cypher;17;x;59;1;119
.\measurementA\cypher\run10\10_18.cypher;18;x;58;6;125
.\measurementA\cypher\run10\10_19.cypher;19;x;59;0;125
.\measurementA\cypher\run10\10_20.cypher;20;x;57;3;128
.\measurementA\cypher\run10\10_21.cypher;21;x;59;0;128
.\measurementA\cypher\run10\10_22.cypher;22;x;58;0;128
.\measurementA\cypher\run10\10_23.cypher;23;x;59;3;131
.\measurementA\cypher\run10\10_24.cypher;24;x;59;0;131
.\measurementA\cypher\run10\10_25.cypher;25;x;60;14;145
.\measurementA\cypher\run10\10_26.cypher;26;x;62;0;145
.\measurementA\cypher\run10\10_27.cypher;27;x;61;0;145
.\measurementA\cypher\run10\10_28.cypher;28;x;59;0;145
.\measurementA\cypher\run10\10_29.cypher;29;x;60;5;150
.\measurementA\cypher\run10\10_30.cypher;30;x;60;6;156
.\measurementA\cypher\run10\10_31.cypher;31;x;62;2;158
.\measurementA\cypher\run10\10_32.cypher;32;x;59;0;158
.\measurementA\cypher\run10\10_33.cypher;33;x;61;0;158
.\measurementA\cypher\run10\10_34.cypher;34;x;60;0;158
.\measurementA\cypher\run10\10_35.cypher;35;x;62;0;158
.\measurementA\cypher\run10\10_36.cypher;36;x;62;3;161
.\measurementA\cypher\run10\10_37.cypher;37;x;60;13;174
.\measurementA\cypher\run10\10_38.cypher;38;x;62;0;174
.\measurementA\cypher\run10\10_39.cypher;39;x;60;0;174
.\measurementA\cypher\run10\10_40.cypher;40;x;62;9;183
.\measurementA\cypher\run10\10_41.cypher;41;x;62;4;187
.\measurementA\cypher\run10\10_42.cypher;42;x;61;0;187
.\measurementA\cypher\run10\10_43.cypher;43;x;62;0;187
.\measurementA\cypher\run10\10_44.cypher;44;x;61;0;187
.\measurementA\cypher\run10\10_45.cypher;45;x;63;2;189
.\measurementA\cypher\run10\10_46.cypher;46;x;62;0;189
.\measurementA\cypher\run10\10_47.cypher;47;x;62;0;189
.\measurementA\cypher\run10\10_48.cypher;48;x;62;0;189
.\measurementA\cypher\run10\10_49.cypher;49;x;63;1;190
.\measurementA\cypher\run10\10_50.cypher;50;x;63;0;190
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run2\2_1.cypher;1;x;55;55;55
